"id","name","age","rating","value","wage","nationality","photo"
192119,"T. Courtois",26,89,53500000,240000,"Belgium","https://cdn.sofifa.org/players/4/19/192119.png"
189511,"Sergio Busquets",29,89,51500000,315000,"Spain","https://cdn.sofifa.org/players/4/19/189511.png"
179813,"E. Cavani",31,89,6e+07,2e+05,"Uruguay","https://cdn.sofifa.org/players/4/19/179813.png"
167495,"M. Neuer",32,89,3.8e+07,130000,"Germany","https://cdn.sofifa.org/players/4/19/167495.png"
153079,"S. Aguero",30,89,64500000,3e+05,"Argentina","https://cdn.sofifa.org/players/4/19/153079.png"
138956,"G. Chiellini",33,89,2.7e+07,215000,"Italy","https://cdn.sofifa.org/players/4/19/138956.png"
231747,"K. Mbappe",19,88,8.1e+07,1e+05,"France","https://cdn.sofifa.org/players/4/19/231747.png"
209331,"M. Salah",26,88,69500000,255000,"Egypt","https://cdn.sofifa.org/players/4/19/209331.png"
200145,"Casemiro",26,88,59500000,285000,"Brazil","https://cdn.sofifa.org/players/4/19/200145.png"
198710,"J. Rodriguez",26,88,69500000,315000,"Colombia","https://cdn.sofifa.org/players/4/19/198710.png"
198219,"L. Insigne",27,88,6.2e+07,165000,"Italy","https://cdn.sofifa.org/players/4/19/198219.png"
197781,"Isco",26,88,73500000,315000,"Spain","https://cdn.sofifa.org/players/4/19/197781.png"
190460,"C. Eriksen",26,88,73500000,205000,"Denmark","https://cdn.sofifa.org/players/4/19/190460.png"
189242,"Coutinho",26,88,69500000,340000,"Brazil","https://cdn.sofifa.org/players/4/19/189242.png"
188567,"P. Aubameyang",29,88,5.9e+07,265000,"Gabon","https://cdn.sofifa.org/players/4/19/188567.png"
178603,"M. Hummels",29,88,4.6e+07,160000,"Germany","https://cdn.sofifa.org/players/4/19/178603.png"
176676,"Marcelo",30,88,4.3e+07,285000,"Brazil","https://cdn.sofifa.org/players/4/19/176676.png"
173731,"G. Bale",28,88,6e+07,355000,"Wales","https://cdn.sofifa.org/players/4/19/173731.png"
167948,"H. Lloris",31,88,3.6e+07,150000,"France","https://cdn.sofifa.org/players/4/19/167948.png"
167664,"G. Higua?n",30,88,5.7e+07,245000,"Argentina","https://cdn.sofifa.org/players/4/19/167664.png"
164240,"Thiago Silva",33,88,2.4e+07,165000,"Brazil","https://cdn.sofifa.org/players/4/19/164240.png"
162835,"S. Handanovi?",33,88,3e+07,110000,"Slovenia","https://cdn.sofifa.org/players/4/19/162835.png"
1179,"G. Buffon",40,88,4e+06,77000,"Italy","https://cdn.sofifa.org/players/4/19/1179.png"
205600,"S. Umtiti",24,87,5.7e+07,205000,"France","https://cdn.sofifa.org/players/4/19/205600.png"
201399,"M. Icardi",25,87,64500000,130000,"Argentina","https://cdn.sofifa.org/players/4/19/201399.png"
201024,"K. Koulibaly",27,87,5.1e+07,115000,"Senegal","https://cdn.sofifa.org/players/4/19/201024.png"
195864,"P. Pogba",25,87,6.4e+07,210000,"France","https://cdn.sofifa.org/players/4/19/195864.png"
193041,"K. Navas",31,87,30500000,195000,"Costa Rica","https://cdn.sofifa.org/players/4/19/193041.png"
192505,"R. Lukaku",25,87,62500000,230000,"Belgium","https://cdn.sofifa.org/players/4/19/192505.png"
192387,"C. Immobile",28,87,5.2e+07,115000,"Italy","https://cdn.sofifa.org/players/4/19/192387.png"
189332,"Jordi Alba",29,87,3.8e+07,250000,"Spain","https://cdn.sofifa.org/players/4/19/189332.png"
175943,"D. Mertens",31,87,4.5e+07,135000,"Belgium","https://cdn.sofifa.org/players/4/19/175943.png"
172871,"J. Vertonghen",31,87,3.4e+07,155000,"Belgium","https://cdn.sofifa.org/players/4/19/172871.png"
171877,"M. Ham??k",30,87,46500000,125000,"Slovakia","https://cdn.sofifa.org/players/4/19/171877.png"
168651,"I. Rakiti?",30,87,46500000,260000,"Croatia","https://cdn.sofifa.org/players/4/19/168651.png"
152729,"Piqu?",31,87,3.4e+07,240000,"Spain","https://cdn.sofifa.org/players/4/19/152729.png"
222492,"L. San?",22,86,6.1e+07,195000,"Germany","https://cdn.sofifa.org/players/4/19/222492.png"
218667,"Bernardo Silva",23,86,59500000,180000,"Portugal","https://cdn.sofifa.org/players/4/19/218667.png"
210257,"Ederson",24,86,41500000,125000,"Brazil","https://cdn.sofifa.org/players/4/19/210257.png"
208722,"S. Man?",26,86,5.2e+07,195000,"Senegal","https://cdn.sofifa.org/players/4/19/208722.png"
203376,"V. van Dijk",26,86,44500000,165000,"Netherlands","https://cdn.sofifa.org/players/4/19/203376.png"
202652,"R. Sterling",23,86,56500000,195000,"England","https://cdn.sofifa.org/players/4/19/202652.png"
201942,"Roberto Firmino",26,86,5.3e+07,195000,"Brazil","https://cdn.sofifa.org/players/4/19/201942.png"
201535,"R. Varane",25,86,5e+07,210000,"France","https://cdn.sofifa.org/players/4/19/201535.png"
199556,"M. Verratti",25,86,5.5e+07,135000,"Italy","https://cdn.sofifa.org/players/4/19/199556.png"
191043,"Alex Sandro",27,86,36500000,160000,"Brazil","https://cdn.sofifa.org/players/4/19/191043.png"
190483,"Douglas Costa",27,86,46500000,175000,"Brazil","https://cdn.sofifa.org/players/4/19/190483.png"
189596,"T. M?ller",28,86,4.5e+07,135000,"Germany","https://cdn.sofifa.org/players/4/19/189596.png"
189509,"Thiago",27,86,45500000,130000,"Spain","https://cdn.sofifa.org/players/4/19/189509.png"
188350,"M. Reus",29,86,43500000,1e+05,"Germany","https://cdn.sofifa.org/players/4/19/188350.png"
184432,"Azpilicueta",28,86,3.5e+07,175000,"Spain","https://cdn.sofifa.org/players/4/19/184432.png"
184344,"L. Bonucci",31,86,3e+07,160000,"Italy","https://cdn.sofifa.org/players/4/19/184344.png"
184087,"T. Alderweireld",29,86,3.9e+07,150000,"Belgium","https://cdn.sofifa.org/players/4/19/184087.png"
180206,"M. Pjani?",28,86,4.4e+07,180000,"Bosnia Herzegovina","https://cdn.sofifa.org/players/4/19/180206.png"
177509,"M. Benatia",31,86,3e+07,160000,"Morocco","https://cdn.sofifa.org/players/4/19/177509.png"
176635,"M. ?zil",29,86,43500000,190000,"Germany","https://cdn.sofifa.org/players/4/19/176635.png"
135507,"Fernandinho",33,86,1.8e+07,185000,"Brazil","https://cdn.sofifa.org/players/4/19/135507.png"
41,"Iniesta",34,86,21500000,21000,"Spain","https://cdn.sofifa.org/players/4/19/41.png"
232363,"M. ?kriniar",23,85,46500000,82000,"Slovakia","https://cdn.sofifa.org/players/4/19/232363.png"
223848,"S. Milinkovi?-Savi?",23,85,50500000,73000,"Serbia","https://cdn.sofifa.org/players/4/19/223848.png"
220834,"Marco Asensio",22,85,5.4e+07,215000,"Spain","https://cdn.sofifa.org/players/4/19/220834.png"
216594,"N. Fekir",24,85,5e+07,92000,"France","https://cdn.sofifa.org/players/4/19/216594.png"
212831,"Alisson",25,85,36500000,115000,"Brazil","https://cdn.sofifa.org/players/4/19/212831.png"
212622,"J. Kimmich",23,85,40500000,92000,"Germany","https://cdn.sofifa.org/players/4/19/212622.png"
208421,"Sa?l",23,85,50500000,77000,"Spain","https://cdn.sofifa.org/players/4/19/208421.png"
204485,"R. Mahrez",27,85,40500000,205000,"Algeria","https://cdn.sofifa.org/players/4/19/204485.png"
197445,"D. Alaba",26,85,3.8e+07,110000,"Austria","https://cdn.sofifa.org/players/4/19/197445.png"
193747,"Koke",26,85,4.5e+07,88000,"Spain","https://cdn.sofifa.org/players/4/19/193747.png"
193301,"A. Lacazette",27,85,4.5e+07,180000,"France","https://cdn.sofifa.org/players/4/19/193301.png"
192774,"K. Manolas",27,85,37500000,96000,"Greece","https://cdn.sofifa.org/players/4/19/192774.png"
192366,"N. Otamendi",30,85,28500000,170000,"Argentina","https://cdn.sofifa.org/players/4/19/192366.png"
189513,"Parejo",29,85,3.7e+07,66000,"Spain","https://cdn.sofifa.org/players/4/19/189513.png"
187961,"Paulinho",29,85,3.7e+07,235000,"Brazil","https://cdn.sofifa.org/players/4/19/187961.png"
186153,"W. Szcz?sny",28,85,3.2e+07,125000,"Poland","https://cdn.sofifa.org/players/4/19/186153.png"
184941,"A. S?nchez",29,85,37500000,215000,"Chile","https://cdn.sofifa.org/players/4/19/184941.png"
184267,"Y. Brahimi",28,85,3.9e+07,28000,"Algeria","https://cdn.sofifa.org/players/4/19/184267.png"
183907,"J. Boateng",29,85,3e+07,115000,"Germany","https://cdn.sofifa.org/players/4/19/183907.png"
181872,"A. Vidal",31,85,2.6e+07,205000,"Chile","https://cdn.sofifa.org/players/4/19/181872.png"
181458,"I. Peri?i?",29,85,37500000,110000,"Croatia","https://cdn.sofifa.org/players/4/19/181458.png"
180930,"E. D?eko",32,85,30500000,115000,"Bosnia Herzegovina","https://cdn.sofifa.org/players/4/19/180930.png"
179846,"S. Khedira",31,85,3.3e+07,160000,"Germany","https://cdn.sofifa.org/players/4/19/179846.png"
179844,"Diego Costa",29,85,38500000,1e+05,"Spain","https://cdn.sofifa.org/players/4/19/179844.png"
178518,"R. Nainggolan",30,85,35500000,105000,"Belgium","https://cdn.sofifa.org/players/4/19/178518.png"
171919,"Naldo",35,85,9e+06,38000,"Brazil","https://cdn.sofifa.org/players/4/19/171919.png"
170890,"B. Matuidi",31,85,2.6e+07,145000,"France","https://cdn.sofifa.org/players/4/19/170890.png"
168609,"Miranda",33,85,15500000,96000,"Brazil","https://cdn.sofifa.org/players/4/19/168609.png"
165153,"K. Benzema",30,85,3.7e+07,240000,"France","https://cdn.sofifa.org/players/4/19/165153.png"
164169,"Filipe Lu?s",32,85,21500000,81000,"Brazil","https://cdn.sofifa.org/players/4/19/164169.png"
139720,"V. Kompany",32,85,2.2e+07,170000,"Belgium","https://cdn.sofifa.org/players/4/19/139720.png"
120533,"Pepe",35,85,9e+06,57000,"Portugal","https://cdn.sofifa.org/players/4/19/120533.png"
41236,"Z. Ibrahimovi?",36,85,1.4e+07,15000,"Sweden","https://cdn.sofifa.org/players/4/19/41236.png"
220793,"D. S?nchez",22,84,3.4e+07,105000,"Colombia","https://cdn.sofifa.org/players/4/19/220793.png"
216460,"J. Gim?nez",23,84,3.4e+07,63000,"Uruguay","https://cdn.sofifa.org/players/4/19/216460.png"
212462,"Alex Telles",25,84,3.2e+07,22000,"Brazil","https://cdn.sofifa.org/players/4/19/212462.png"
212218,"A. Laporte",24,84,3.4e+07,135000,"France","https://cdn.sofifa.org/players/4/19/212218.png"
212198,"Bruno Fernandes",23,84,40500000,22000,"Portugal","https://cdn.sofifa.org/players/4/19/212198.png"
212190,"N. S?le",22,84,36500000,84000,"Germany","https://cdn.sofifa.org/players/4/19/212190.png"
211300,"A. Martial",22,84,42500000,165000,"France","https://cdn.sofifa.org/players/4/19/211300.png"
211117,"D. Alli",22,84,42500000,115000,"England","https://cdn.sofifa.org/players/4/19/211117.png"
209499,"Fabinho",24,84,3.4e+07,120000,"Brazil","https://cdn.sofifa.org/players/4/19/209499.png"
207865,"Marquinhos",24,84,35500000,90000,"Brazil","https://cdn.sofifa.org/players/4/19/207865.png"
207566,"William Carvalho",26,84,31500000,38000,"Portugal","https://cdn.sofifa.org/players/4/19/207566.png"
205498,"Jorginho",26,84,3.8e+07,155000,"Italy","https://cdn.sofifa.org/players/4/19/205498.png"
204970,"F. Thauvin",25,84,3.9e+07,72000,"France","https://cdn.sofifa.org/players/4/19/204970.png"
204963,"Carvajal",26,84,31500000,185000,"Spain","https://cdn.sofifa.org/players/4/19/204963.png"
202556,"M. Depay",24,84,4.2e+07,93000,"Netherlands","https://cdn.sofifa.org/players/4/19/202556.png"
200104,"H. Son",25,84,3.7e+07,125000,"Korea Republic","https://cdn.sofifa.org/players/4/19/200104.png"
199482,"A. Lopes",27,84,2.5e+07,72000,"Portugal","https://cdn.sofifa.org/players/4/19/199482.png"
198176,"S. de Vrij",26,84,31500000,88000,"Netherlands","https://cdn.sofifa.org/players/4/19/198176.png"
198009,"M. Perin",25,84,29500000,105000,"Italy","https://cdn.sofifa.org/players/4/19/198009.png"
193082,"J. Cuadrado",30,84,29500000,150000,"Colombia","https://cdn.sofifa.org/players/4/19/193082.png"
192629,"Iago Aspas",30,84,3e+07,45000,"Spain","https://cdn.sofifa.org/players/4/19/192629.png"
192563,"B. Leno",26,84,2.7e+07,115000,"Germany","https://cdn.sofifa.org/players/4/19/192563.png"
191202,"N. Mati?",29,84,2.4e+07,165000,"Serbia","https://cdn.sofifa.org/players/4/19/191202.png"
190941,"L. Hr?deck?",28,84,2.2e+07,74000,"Finland","https://cdn.sofifa.org/players/4/19/190941.png"
190584,"Illarramendi",28,84,3.1e+07,51000,"Spain","https://cdn.sofifa.org/players/4/19/190584.png"
188377,"K. Walker",28,84,24500000,165000,"England","https://cdn.sofifa.org/players/4/19/188377.png"
186942,"I. G?ndo?an",27,84,3.2e+07,175000,"Germany","https://cdn.sofifa.org/players/4/19/186942.png"
185020,"Jos? Callej?n",31,84,27500000,105000,"Spain","https://cdn.sofifa.org/players/4/19/185020.png"
183898,"A. Di Mar?a",30,84,29500000,125000,"Argentina","https://cdn.sofifa.org/players/4/19/183898.png"
181783,"M. Mand?uki?",32,84,2.5e+07,160000,"Croatia","https://cdn.sofifa.org/players/4/19/181783.png"
180403,"Willian",29,84,30500000,175000,"Brazil","https://cdn.sofifa.org/players/4/19/180403.png"
178750,"Sergio Asenjo",29,84,2.4e+07,42000,"Spain","https://cdn.sofifa.org/players/4/19/178750.png"
178562,"E. Banega",30,84,2.9e+07,31000,"Argentina","https://cdn.sofifa.org/players/4/19/178562.png"
177413,"A. Witsel",29,84,2.4e+07,77000,"Belgium","https://cdn.sofifa.org/players/4/19/177413.png"
177388,"D. Payet",31,84,27500000,75000,"France","https://cdn.sofifa.org/players/4/19/177388.png"
176769,"Jonas",34,84,16500000,25000,"Brazil","https://cdn.sofifa.org/players/4/19/176769.png"
172879,"Sokratis",30,84,2.3e+07,140000,"Greece","https://cdn.sofifa.org/players/4/19/172879.png"
167628,"S. Ruffier",31,84,1.9e+07,41000,"France","https://cdn.sofifa.org/players/4/19/167628.png"
167397,"Falcao",32,84,2.5e+07,115000,"Colombia","https://cdn.sofifa.org/players/4/19/167397.png"
163587,"K. Schmeichel",31,84,1.9e+07,78000,"Denmark","https://cdn.sofifa.org/players/4/19/163587.png"
157481,"Ra?l Albiol",32,84,1.8e+07,88000,"Spain","https://cdn.sofifa.org/players/4/19/157481.png"
143076,"A. G?mez",30,84,3e+07,53000,"Argentina","https://cdn.sofifa.org/players/4/19/143076.png"
137186,"A. Barzagli",37,84,4200000,95000,"Italy","https://cdn.sofifa.org/players/4/19/137186.png"
20775,"Quaresma",34,84,15500000,80000,"Portugal","https://cdn.sofifa.org/players/4/19/20775.png"
9014,"A. Robben",34,84,15500000,110000,"Netherlands","https://cdn.sofifa.org/players/4/19/9014.png"
231443,"O. Demb?l?",21,83,4e+07,155000,"France","https://cdn.sofifa.org/players/4/19/231443.png"
230666,"Gabriel Jesus",21,83,4.1e+07,130000,"Brazil","https://cdn.sofifa.org/players/4/19/230666.png"
230481,"Ronaldo Cabrais",26,83,2.8e+07,51000,"Brazil","https://cdn.sofifa.org/players/4/19/230481.png"
230375,"Josu? Chiamulera",26,83,22500000,43000,"Brazil","https://cdn.sofifa.org/players/4/19/230375.png"
230294,"Louri Beretta",26,83,28500000,60000,"Brazil","https://cdn.sofifa.org/players/4/19/230294.png"
225850,"P. Kimpembe",22,83,30500000,82000,"France","https://cdn.sofifa.org/players/4/19/225850.png"
220971,"N. Ke?ta",23,83,3.4e+07,120000,"Guinea","https://cdn.sofifa.org/players/4/19/220971.png"
219683,"C. Tolisso",23,83,3.4e+07,85000,"France","https://cdn.sofifa.org/players/4/19/219683.png"
213565,"T. Lemar",22,83,35500000,64000,"France","https://cdn.sofifa.org/players/4/19/213565.png"
213345,"K. Coman",22,83,3.4e+07,85000,"France","https://cdn.sofifa.org/players/4/19/213345.png"
213331,"J. Tah",22,83,29500000,67000,"Germany","https://cdn.sofifa.org/players/4/19/213331.png"
212523,"Anderson Talisca",24,83,36500000,18000,"Brazil","https://cdn.sofifa.org/players/4/19/212523.png"
212188,"T. Werner",22,83,34500000,70000,"Germany","https://cdn.sofifa.org/players/4/19/212188.png"
210008,"A. Rabiot",23,83,3.3e+07,91000,"France","https://cdn.sofifa.org/players/4/19/210008.png"
209658,"L. Goretzka",23,83,3.4e+07,85000,"Germany","https://cdn.sofifa.org/players/4/19/209658.png"
208808,"Q. Promes",26,83,30500000,28000,"Netherlands","https://cdn.sofifa.org/players/4/19/208808.png"
208670,"H. Ziyech",25,83,32500000,28000,"Morocco","https://cdn.sofifa.org/players/4/19/208670.png"
208618,"Lucas V?zquez",27,83,2.7e+07,205000,"Spain","https://cdn.sofifa.org/players/4/19/208618.png"
208418,"Y. Carrasco",24,83,3.3e+07,20000,"Belgium","https://cdn.sofifa.org/players/4/19/208418.png"
208093,"Gerard Moreno",26,83,3.2e+07,53000,"Spain","https://cdn.sofifa.org/players/4/19/208093.png"
207863,"Felipe",29,83,2e+07,22000,"Brazil","https://cdn.sofifa.org/players/4/19/207863.png"
207410,"M. Kova?i?",24,83,3.5e+07,165000,"Croatia","https://cdn.sofifa.org/players/4/19/207410.png"
206585,"Kepa",23,83,28500000,84000,"Spain","https://cdn.sofifa.org/players/4/19/206585.png"
206545,"Manu Trigueros",26,83,3e+07,49000,"Spain","https://cdn.sofifa.org/players/4/19/206545.png"
206113,"S. Gnabry",22,83,34500000,85000,"Germany","https://cdn.sofifa.org/players/4/19/206113.png"
204935,"J. Pickford",24,83,2.5e+07,78000,"England","https://cdn.sofifa.org/players/4/19/204935.png"
204639,"S. Savi?",27,83,2.6e+07,67000,"Montenegro","https://cdn.sofifa.org/players/4/19/204639.png"
203574,"J. Stones",24,83,28500000,125000,"England","https://cdn.sofifa.org/players/4/19/203574.png"
202651,"Suso",24,83,3.3e+07,115000,"Spain","https://cdn.sofifa.org/players/4/19/202651.png"
202166,"J. Draxler",24,83,32500000,91000,"Germany","https://cdn.sofifa.org/players/4/19/202166.png"
201995,"Felipe Anderson",25,83,31500000,110000,"Brazil","https://cdn.sofifa.org/players/4/19/201995.png"
200949,"Lucas Moura",25,83,3.1e+07,115000,"Brazil","https://cdn.sofifa.org/players/4/19/200949.png"
200888,"Danilo Pereira",26,83,2.7e+07,21000,"Portugal","https://cdn.sofifa.org/players/4/19/200888.png"
200724,"Nacho Fern?ndez",28,83,24500000,180000,"Spain","https://cdn.sofifa.org/players/4/19/200724.png"
200316,"T. Horn",25,83,2.4e+07,25000,"Germany","https://cdn.sofifa.org/players/4/19/200316.png"
199914,"Allan",27,83,26500000,87000,"Brazil","https://cdn.sofifa.org/players/4/19/199914.png"
199845,"F. Acerbi",30,83,1.9e+07,64000,"Italy","https://cdn.sofifa.org/players/4/19/199845.png"
199564,"Sergi Roberto",26,83,26500000,170000,"Spain","https://cdn.sofifa.org/players/4/19/199564.png"
198329,"Rodrigo",27,83,30500000,57000,"Spain","https://cdn.sofifa.org/players/4/19/198329.png"
197965,"Pizzi",28,83,25500000,22000,"Portugal","https://cdn.sofifa.org/players/4/19/197965.png"
195365,"K. Kampl",27,83,26500000,74000,"Slovenia","https://cdn.sofifa.org/players/4/19/195365.png"
194404,"Neto",28,83,2.1e+07,41000,"Brazil","https://cdn.sofifa.org/players/4/19/194404.png"
193698,"O. Baumann",28,83,2.1e+07,42000,"Germany","https://cdn.sofifa.org/players/4/19/193698.png"
193474,"I. Gueye",28,83,2.1e+07,125000,"Senegal","https://cdn.sofifa.org/players/4/19/193474.png"
192883,"H. Mkhitaryan",29,83,25500000,145000,"Armenia","https://cdn.sofifa.org/players/4/19/192883.png"
192638,"Marcos Alonso",27,83,2.4e+07,130000,"Spain","https://cdn.sofifa.org/players/4/19/192638.png"
192593,"D. Suba?i?",33,83,1.3e+07,70000,"Croatia","https://cdn.sofifa.org/players/4/19/192593.png"
190547,"K. Glik",30,83,1.9e+07,86000,"Poland","https://cdn.sofifa.org/players/4/19/190547.png"
189712,"K. Strootman",28,83,2.1e+07,66000,"Netherlands","https://cdn.sofifa.org/players/4/19/189712.png"
189068,"B. Dost",29,83,2.6e+07,26000,"Netherlands","https://cdn.sofifa.org/players/4/19/189068.png"
188152,"Oscar",26,83,30500000,29000,"Brazil","https://cdn.sofifa.org/players/4/19/188152.png"
186627,"M. Balotelli",27,83,27500000,55000,"Italy","https://cdn.sofifa.org/players/4/19/186627.png"
185221,"Luiz Gustavo",30,83,1.9e+07,63000,"Brazil","https://cdn.sofifa.org/players/4/19/185221.png"
184942,"Giuliano",28,83,2.6e+07,64000,"Brazil","https://cdn.sofifa.org/players/4/19/184942.png"
179944,"David Luiz",31,83,17500000,130000,"Brazil","https://cdn.sofifa.org/players/4/19/179944.png"
179783,"R. F?hrmann",29,83,2e+07,38000,"Germany","https://cdn.sofifa.org/players/4/19/179783.png"
178088,"Juan Mata",30,83,24500000,160000,"Spain","https://cdn.sofifa.org/players/4/19/178088.png"
178086,"Ad?n",31,83,15500000,55000,"Spain","https://cdn.sofifa.org/players/4/19/178086.png"
178005,"Rui Patr?cio",30,83,16500000,74000,"Portugal","https://cdn.sofifa.org/players/4/19/178005.png"
177683,"Y. Sommer",29,83,2e+07,35000,"Switzerland","https://cdn.sofifa.org/players/4/19/177683.png"
177610,"Javi Mart?nez",29,83,2e+07,94000,"Spain","https://cdn.sofifa.org/players/4/19/177610.png"
177457,"L. Bender",29,83,2e+07,82000,"Germany","https://cdn.sofifa.org/players/4/19/177457.png"
176266,"Lucas Leiva",31,83,17500000,64000,"Brazil","https://cdn.sofifa.org/players/4/19/176266.png"
163705,"S. Mandanda",33,83,1.3e+07,51000,"France","https://cdn.sofifa.org/players/4/19/163705.png"
162895,"Cesc F?bregas",31,83,2.2e+07,140000,"Spain","https://cdn.sofifa.org/players/4/19/162895.png"
162240,"M. Demb?l?",30,83,2.4e+07,120000,"Belgium","https://cdn.sofifa.org/players/4/19/162240.png"
156616,"F. Rib?ry",35,83,11500000,72000,"France","https://cdn.sofifa.org/players/4/19/156616.png"
104389,"R. Jarstein",33,83,1.3e+07,33000,"Norway","https://cdn.sofifa.org/players/4/19/104389.png"
53302,"D. De Rossi",34,83,8e+06,80000,"Italy","https://cdn.sofifa.org/players/4/19/53302.png"
24630,"Pepe Reina",35,83,6e+06,56000,"Spain","https://cdn.sofifa.org/players/4/19/24630.png"
236583,"J. Pavlenka",26,82,19500000,30000,"Czech Republic","https://cdn.sofifa.org/players/4/19/236583.png"
235243,"M. de Ligt",18,82,2.7e+07,11000,"Netherlands","https://cdn.sofifa.org/players/4/19/235243.png"
231866,"Rodri",22,82,2.9e+07,59000,"Spain","https://cdn.sofifa.org/players/4/19/231866.png"
230658,"Arthur",21,82,32500000,125000,"Brazil","https://cdn.sofifa.org/players/4/19/230658.png"
230621,"G. Donnarumma",19,82,2.9e+07,23000,"Italy","https://cdn.sofifa.org/players/4/19/230621.png"
230258,"Rosberto Dourado",30,82,16500000,46000,"Brazil","https://cdn.sofifa.org/players/4/19/230258.png"
230225,"Juiano Mestres",34,82,6500000,39000,"Brazil","https://cdn.sofifa.org/players/4/19/230225.png"
230168,"Raphaelito Anjos",30,82,1.4e+07,32000,"Brazil","https://cdn.sofifa.org/players/4/19/230168.png"
227055,"Gelson Martins",23,82,29500000,59000,"Portugal","https://cdn.sofifa.org/players/4/19/227055.png"
224411,"Gon?alo Guedes",21,82,2.9e+07,36000,"Portugal","https://cdn.sofifa.org/players/4/19/224411.png"
223959,"L. Torreira",22,82,2.5e+07,98000,"Uruguay","https://cdn.sofifa.org/players/4/19/223959.png"
222737,"Malcom",21,82,31500000,140000,"Brazil","https://cdn.sofifa.org/players/4/19/222737.png"
221087,"Pau L?pez",23,82,21500000,21000,"Spain","https://cdn.sofifa.org/players/4/19/221087.png"
220814,"L. Hern?ndez",22,82,25500000,53000,"France","https://cdn.sofifa.org/players/4/19/220814.png"
220440,"C. Lenglet",23,82,2.6e+07,135000,"France","https://cdn.sofifa.org/players/4/19/220440.png"
216354,"A. Kramari?",27,82,2.6e+07,54000,"Croatia","https://cdn.sofifa.org/players/4/19/216354.png"
216267,"A. Robertson",24,82,24500000,98000,"Scotland","https://cdn.sofifa.org/players/4/19/216267.png"
216194,"Dani Garc?a",28,82,2e+07,33000,"Spain","https://cdn.sofifa.org/players/4/19/216194.png"
212404,"F. Bernardeschi",24,82,29500000,110000,"Italy","https://cdn.sofifa.org/players/4/19/212404.png"
212194,"J. Brandt",22,82,30500000,68000,"Germany","https://cdn.sofifa.org/players/4/19/212194.png"
211320,"D. Rugani",23,82,24500000,95000,"Italy","https://cdn.sofifa.org/players/4/19/211320.png"
210617,"Samu Castillejo",23,82,2.9e+07,94000,"Spain","https://cdn.sofifa.org/players/4/19/210617.png"
210514,"Jo?o Cancelo",24,82,25500000,95000,"Portugal","https://cdn.sofifa.org/players/4/19/210514.png"
210413,"A. Romagnoli",23,82,26500000,84000,"Italy","https://cdn.sofifa.org/players/4/19/210413.png"
209989,"T. Partey",25,82,25500000,59000,"Ghana","https://cdn.sofifa.org/players/4/19/209989.png"
209297,"Fred",25,82,26500000,140000,"Brazil","https://cdn.sofifa.org/players/4/19/209297.png"
208830,"J. Vardy",31,82,2e+07,96000,"England","https://cdn.sofifa.org/players/4/19/208830.png"
208596,"A. Belotti",24,82,3e+07,58000,"Italy","https://cdn.sofifa.org/players/4/19/208596.png"
208448,"E. Forsberg",26,82,2.6e+07,67000,"Sweden","https://cdn.sofifa.org/players/4/19/208448.png"
207494,"J. Lingard",25,82,26500000,140000,"England","https://cdn.sofifa.org/players/4/19/207494.png"
207471,"F. V?zquez",29,82,21500000,27000,"Argentina","https://cdn.sofifa.org/players/4/19/207471.png"
